"ProjectID","ProjectName","ShortName","Country","State","Region","City","County","LatitudeDegrees","LatitudeMinutes","LatitudeSeconds","LatitudeDirection","LongitudeDegrees","LongitudeMinutes","LongitudeSeconds","LongitudeDirection","Technology","Status","StatusDate","PPADateMonth","PPADateDay","PPADateYear","FeedInTariffType","TariffRate","TariffRateUnit","TariffYears","TariffInfo","BreakGroundMonth","BreakGroundDay","BreakGroundYear","ProductionStartMonth","ProductionStartDay","ProductionStartYear","SiteSolarResource","SiteSolarResourceDataSource","ProjectType","Cost","CostCurrency","CostInfoSource","ElectricityGeneration","ElectricityGenerationBasis","ElectricityGenerationExplanation","ContactCompany","ContactWebSite","Contact1","Contact1Email","ContactCompany2","ContactWebSite2","Contact2","Contact2Email","ConstructionJobYears","AnnualOperationsJobs","Developer1","Developer2","Operator1","Operator2","EPCContractor","EPCContractorTask","LandArea","LandAreaUnits","DriveManufacturer1","DriveManufacturer2","HeatTransferFluidType","HeatTransferFluidCompany","GrossTurbineCapacity","NetCapacity","OtherTurbineCapacity","CapacityUnit","TurbineThermodynamicCycleType","PowerCyclePressure","PowerCyclePressureUnits","TurbineSupplier","TurbineSupplierCountry","CoolingMethod","CoolingMethodDescription","TurbineEfficiency","DesignPointSolarElectricEfficiency","DesignPointConditions","AnnualSolarElectricEfficiency","BackupType","BackupPercent","StorageType","StorageCapacity","StorageCapacityUnit","StorageDescription","LongDescription","Photo","AltText","Caption","Credit","PublishStatus"
"31","Solar Electric Generating Station++4++ IV","SEGS IV","US","CA","Mojave Desert","Kramer Junction","San Bernardino","35","0","51.0","North","117","33","32.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","February","1","1989","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","33.0","30.0","","MW","","40.0","bar","","","","","30.6","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station IV, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS IV is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.","photo_segs_4_14955.jpg","Photo from a low aerial perspective of rows of parabolic troughs separated by a couple of access roads. A power plant is located in the middle of this trough field; especially prominent is a low cooling tower that is venting steam and two taller cylindrical storage tanks in the background.","","","published"
"32","Solar Electric Generating Station++5++ V","SEGS V","US","CA","Mojave Desert","Kramer Junction","San Bernardino","35","0","51.0","North","117","33","32.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","February","1","1989","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","33.0","30.0","","MW","","40.0","bar","","","","","30.6","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station V, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS V is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.","photo_segs_5_14953.jpg","Photo of the main portion of a steam turbine being hoisted by a block-and-tackle system onto the flatbed of a truck, in front of rows of parabolic troughs. Four men in hard hats are supervising the operation.","","","Published"
"33","Solar Electric Generating Station++6++ VI","SEGS VI","US","CA","Mojave Desert","Kramer Junction","San Bernardino","35","0","51.0","North","117","33","32.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","February","1","1989","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","35.0","30.0","","MW","","100.0","bar","","","","","37.5","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station VI, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS VI is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.","photo_segs_6_01223.jpg","Photo with an aerial perspective looking perpendicular to numerous rows of parabolic troughs. The sun is glinting off some of the mirrors, highlighting some of the tubes of the heat-collection elements within the trough system.","","","Published"
"34","Solar Electric Generating Station++7++ VII","SEGS VII","US","CA","Mojave Desert","Kramer Junction","San Bernardino","35","0","51.0","North","117","33","32.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","February","1","1989","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","35.0","30.0","","MW","","100.0","bar","","","","","37.5","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station VII, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS VII is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.","photo_segs_7_00033.jpg","Photo from low aerial perspective down the length of parabolic troughs. The tubes making up the heat-collection element along the focal line of each trough are visible. The troughs are casting shadows on the ground below. The power plant in seen in the right background; with the low cooling towers especially prominent.","","","Published"
"35","Solar Electric Generating Station++8++ VIII","SEGS VIII","US","CA","Mojave Desert","Harper Dry Lake","San Bernardino","35","1","54.0","North","117","20","53.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","December","1","1989","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","89.0","80.0","","MW","","100.0","bar","","","","","37.6","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station VIII, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS VIII is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.  SEGS VIII is the largest individual trough plant (along with SEGS IX).","photo_segs_8.jpg","Photo of the backside of rows of parabolic troughs. Fourteen metal frames hold the curved mirrors to form an entire trough; vertical supports are positioned on the ends of each trough. The troughs cast shadows on the ground below.","","","Published"
"36","Solar Electric Generating Station++9++ IX","SEGS IX","US","CA","Mojave Desert","Harper Dry Lake","San Bernardino","35","1","54.0","North","117","20","53.0","West","Parabolic trough","Operational","2015/10/01","","","","","","","","","","","","October","1","1990","2725","National Solar Resource Data Base","PURPA Qualifying Facility Independent Power Producer, with special Standard Offer 2 (SO-2) type power purchase agreement to Southern California Edison","","","","","","","NextEra Energy","","Lauren Romero","Lauren.Romero@nee.com","","","","","","","Luz","","NextEra","","","","","","","","Therminol","","89.0","80.0","","MW","","100.0","bar","","","","","37.6","","","","Natural gas","","","","","","This page provides information on Solar Electric Generating Station IX, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

SEGS IX is one of the nine Solar Electric Generating Station plants in California’s Mojave Desert. The combined electric generating capacity of these plants, which use parabolic trough technology, is more than 350 megawatts. The plants operate as Qualifying Facility Independent Power Producers under the Public Utility Regulatory Policies Act, with a special Standard Offer 2 type of power purchase agreement to Southern California Edison.  SEGS IX is the largest individual trough plant (along with SEGS VIII).","photo_segs_9_09113.jpg","Photo in black and white at low aerial perspective that shows portions of several large parabolic troughs. Images of the tubes of the heat-collection elements and their supports are reflected into the trough mirrors. A man with a hard hat is looking up at a trough as he stands at the end of one row.","","","Published"
"37","Kimberlina Solar Thermal Power Plant","Kimberlina","US","CA","","Bakersfield","Kern","35","34","0.0","North","119","11","39.1","West","Linear Fresnel reflector","Currently Non-Operational","2017/01/12","","","","","","","","","March","","2008","October","","2008","","","Demonstration","","","","","","","","","Bill Conlon","bill.conlon@ausra.com","","","Katherine Potter","kpotter@ausra.com","","","Ausra","","Ausra","","","","12","acres","Ausra","","Water","","5.0","5.0","","MW","Steam Rankine","40.0","bar","","","","","","","","","","","None","","","","This page provides information on Kimberlina, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Kimberlina is the first Compact Linear Fresnel Reflector (CLFR) project in North America.  Located in Bakersfield, CA, Ausra began construction of the power plant in March 2008, with the plant entering operation in October 2008.  Kimberlina generates up to 5 megawatts of electricity at full output to help meet California’s peak summer demand.","","","","","Published"
"38","Planta Solar 10","PS10","ES","  ","Sanlúcar la Mayor","Sevilla","","37","26","30.97","North","6","14","59.98","West","Power tower","Operational","2017/03/20","January","17","2005","Royal Decree 661/2007","27.1188","Euro cents per kWh","25","Total Price = Pool + Tariff Rate","","","2005","June","25","2007","2012","Abengoa Solar","Commercial plant","","Euro","","23400","Expected/Planned","Gross generation","Abengoa Solar","http://www.abengoasolar.com","Luis Rejano","luis.rejano@abengoa.com","","","","","","","Abengoa Solar","","Abengoa Solar","","Abener Energía","","55","hectares","","","Water","","11.02","11.0","","MW","","45.0","bar","","","Wet cooling","Refrigeration towers","","","","","","","Other","1","hour(s)","","This page provides information on Planta Solar 10, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Abengoa Solar's Planta Solar 10 is the first solar central-receiver system producing grid-connected electricity under a purely commercial approach. PS10's technologies—including glass-metal heliostats, pressurized-water thermal storage system, and saturated-steam receiver and turbine—were previously tested and qualified at the Plataforma Solar de Almería facility. This testing helped to avoid technological uncertainties and allowed the project to focus on scaling up, integrating subsystems, demonstrating dispatchability, and reducing O&M costs. The plant's thermal storage system has a 50-minute capacity at 50% load to handle cloud transients. The tower was designed to reduce visual impact—its relatively narrow body includes a large open space to give a lightweight sense.","photo_ps-10.jpg","Photo taken from the air that shows a tall tower toward the left rising above a flat field. In front of the tower on the field is an oval-shaped area containing rows of flat mirrors that are approximately concentric to the tower. The mirrors are oriented horizontal to the ground, but when in operation, they will be oriented to focus the sun onto the top of the tower.","","Abengoa Solar","Published"
"39","Planta Solar 20","PS20","ES","  ","Sanlúcar la Mayor","Sevilla","","37","26","30.97","North","6","14","59.98","West","Power tower","Operational","2017/03/20","January","17","2005","Royal Decree 661/2007","27.1188","Euro cents per kWh","25","Total Price = Pool + Tariff Rate","","","2006","April","22","2009","2012","Abengoa Solar","Commercial plant","","Euro","","48000","Expected/Planned","Gross generation","Abengoa Solar","http://www.abengoasolar.com","Luis Rejano","luis.rejano@abengoa.com","","","","","","","Abengoa Solar","","Abengoa Solar","","Abener Energía","","80","hectares","","","Water","","20.0","20.0","","MW","","45.0","bar","","","Wet cooling","Refrigeration towers","","","","","","","Other","1","hour(s)","","This page provides information on Planta Solar 20, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Abengoa Solar's Planta Solar 20 (PS20) is a 20-megawatt power tower plant being constructed next to the PS10 tower, and it will be the largest power tower in the world. The PS20 receiver has been significantly improved with respect to its predecessor PS10 receiver. For example, designing a natural circulation receiver and increasing incident solar radiation capture will increase net electrical power output by 10 percent. The 160-meter tower was designed to reduce the visual impact of its height. The plant has the capacity to generate more than 40 gigawatt-hours of energy each year, enough to supply power to 10,000 homes.","photo_ps-20.jpg","Photo of the central tower of the power tower system. The tower contains a lozenge-shaped cut-out in the middle, which gives the tower a lighter, more architecturally designed appearance than a solid structure would have. Several much lower buildings flank the tower.","","Abengoa Solar","Published"
"40","Gemasolar Thermosolar Plant","Gemasolar","ES","  ","Andalucía (Sevilla)","Fuentes de Andalucía","","37","33","44.95","North","5","19","49.39","West","Power tower","Operational","2017/03/20","","","","","","","","","February","","2009","April","","2011","2100","Sener","","230000000","Euro","","80000","","","Sener","","Juan Ignacio Burgaleta","ignacio.burgaleta@torresolenergy.com","","","","","800","45","Torresol Energy","","Torresol O&M","","UTE C.T. Solar Tres","","195","hectares","Sener","","Molten salts (sodium and potassium nitrates)","","19.9","19.9","","MW","Steam Rankine","","","","","Wet cooling","","","","","","","","2-tank direct","15","hour(s)","One cold-salts tank (290ºC) from where salts are pumped to the tower receiver and heated up to 565ºC, to be stored in one hot-salts tank (565ºC). Annual equivalent hours = 5,000.","This page provides information on Gemasolar Thermosolar Plant, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Gemasolar is the first high-temperature solar receiver with molten salt, which provides 15 hours of thermal storage and an annual capacity factor of about 55%.","photo_gemasolar.jpg","Computer-generated image of circular field of several thousand flat mirrors separated into curved rows and oriented such that they reflect sunlight onto the top of a tower at the center of the circle.  Several buildings are indicated in the foreground, and the background shows flat fields with groves of trees.","Computer-generated image of the Gemasolar CSP central receiver facility.","Lahmeyer International GmbH","Published"
"43","ISCC Ain Beni Mathar","","MA","  ","Ain Beni Mathar","Ain Beni Mathar","","34","3","50.0","North","2","6","0.0","West","Parabolic trough","Operational","2013/01/24","","","","","","","25","","April","","2008","May","","2010","","","Commercial","","","","55000","","","Abener","http://www.abener.com","Mª José Mosquera","comunicacion@abener.abengoa.com","","","","","","","Abener","","Abengoa Solar / ONE","","Abener","","","","","","Therminol VP-1","","20.0","20.0","","MW","Steam Rankine","","","","","Wet cooling","","","","","","","","None","","","","This page provides information on ISCC Morocco, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Integrated Solar Combined-Cycle (ISCC) technology combines the benefits of solar energy with the benefits of a combined cycle. The solar resource partially substitutes the fossil fuel. The project consist of a 470 MWe hybrid power plant composed of a combined cycle and a 20 MWe solar thermal system.","","","","","Published"
"44","ISCC Hassi R'mel","ISCC Hassi R'mel","DZ","  ","Hassi R'mel","Hassi R'mel","","33","7","27.0","North","3","21","25.0","East","Parabolic trough","Operational","2015/04/15","","","","","","","25","","October","","2007","July","14","2011","","","Commercial","315000000","Euros","","","","","Abener","http://www.abener.com","Mª Jose Mosquera","mariajose.mosquera@abener.abengoa.com","","","","","","","Abener","","Abener","","Abener","","64","hectares","","","Thermal oil","","20.0","20.0","","MW","Steam Rankine","","","Siemens SST-900","","Dry cooling","Aero condensers","","","","","","","None","","","","This page provides information on ISCC Hassi R'mel, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.  Integrated Solar Combined-Cycle (ISCC) technology combines the benefits of solar energy with the benefits of a combined cycle. The solar resource partially substitutes the fossil fuel. The project consists of a 150 MWe hybrid power plant composed of a combined cycle and a 20 MWe solar thermal plant.","","","","","Published"
"45","Martin Next Generation Solar Energy Center","MNGSEC","US","FL","South Florida","Indiantown","Martin","27","3","13.0","North","80","33","46.0","West","Parabolic trough","Operational","2012/08/23","","","","","","","","","January","","2009","December","10","2010","","","","476300000","USD","FPSC filing","155000","Estimated","","Florida Power & Light Company","http://www.fpl.com/","John Gnecco","john_gnecco@fpl.com","","","Cindy Tindell","cindy_tindell@fpl.com","","","Florida Power & Light Co.","","Florida Power & Light Co.","","Lauren Engineers & Constructors","","500","acres","","","Thermal Oil","","75.0","75.0","","MW","Steam Rankine","","","","","","","","","","","","","None","","","","The Martin Next Generation Solar Energy Center is the second largest solar facility in the world and the largest solar plant of any kind outside of California. The facility is the first hybrid facility in the world to connect a solar facility to an existing combined-cycle power plant, providing 75 megawatts of solar thermal capacity in an innovative way that directly displaces fossil fuel usage. The project consists of up to about 200,000 mirrors over about 500 acres at the existing FPL Martin Plant site.","","","","","Published"
"46","Puerto Errado 1 Thermosolar Power Plant","PE1","ES","  ","Murcia","Calasparra","","38","16","42.28","North","1","36","1.01","West","Linear Fresnel reflector","Operational","2011/09/07","April","1","2009","b1.2 R.D 661/2007","26.9375","Euro cents per kWh","25","Tariff rate is 21.5495 Euro cents per kWh beyond 25 years","March","14","2008","March","19","2009","2100","Client","Prototype","","","","2000","Expected/Planned","Following radiation estimation, own electrical consumers and equipment efficiency","Novatec Solar GmbH","http://www.novatecsolar.com","Jutta Glänzel (Novatec)","jutta.glaenzel@novatecsolar.com","","","","","","1","Novatec Solar GmbH","","Novatec Solar España S.L.","Power Support","Novatec Solar España S.L.","","5","hectares","","","Water","Novatec Solar España","1.4","","","MW","","55.0","bar","KKK-Siemens","","Dry cooling","Air-cooled condensers","","","270ºC, 55 bar","","","","Single-tank thermocline","","","Ruths tank","This page provides information on Puerto Errado 1 Thermosolar, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. This plant, operated by Novatec Solar España, is a linear Fresnel reflector system.","photo_puerto_errado1.jpg","Photo showing an aerial view at an angle and looking length-wise down light gray-blue parallel rows of mirrors that extend into the distance. Two groups of 16 rows each are separated by a gap.  Various tanks and pipes in the foreground represent part of the power plant in this Fresnel concentrating solar power field.","","","published"
"47","Helios I","Helios I","ES","  ","Ciudad Real","Puerto Lápice","","39","14","24.0","North","3","28","12.0","West","Parabolic trough","Operational","2013/03/18","","","","Real Decreto 661/2010","27.0","Euro cents per kWh","25","","June","","2010","June","","2012","2217","Combination of meteo station and satellite methods","Commercial","","","","97000","Expected/Planned","","Helios I HYPERION Energy Investments, S.L.","","Contact person","rrhh@hyperion-st.com","","","","","600","40","Helios I HYPERION Energy Investments, S.L.","","","","Abener/Teyma","","260","hectares","","","Thermal Oil","","50.0","50.0","","MW","Steam Rankine","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","","","","","","","None","","","","This page provides information on Helios 1, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"48","Helios II","Helios II","ES","  ","Ciudad Real","Puerto Lápice","","39","14","24.0","North","3","28","12.0","West","Parabolic trough","Operational","2015/08/19","","","","Real Decreto 661/2011","27.0","Euro cents per kWh","25","","August","","2010","August","","2012","2217","Combination of meteo station and satellite methods","Commercial","","","","97000","Expected/Planned","","Helios II HYPERION Energy Investments, S.L.","","Contact person","rrhh@hyperion-st.com","","","","","600","40","Helios II HYPERION Energy Investments, S.L.","","","","Abener/Teyma","","260","hectares","","","Xceltherm®MK1","Radco Industries","50.0","50.0","","MW","Steam Rankine","100.0","bar","Siemens","Germany","Wet cooling","Cooling towers","","","","","","","None","","","","This page provides information on Helios 2, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"51","Blythe Solar Power Project","","US","CA","","Blythe","Riverside","33","37","55.0","North","114","45","45.0","West","Parabolic trough","Under development","2011/03/08","January","1","2009","","","","20","","December","1","2010","January","1","2013","","","","6000000000","dollars","","525000","Expected/Planned","","","","Solar Millennium","info@SolarMillennium.de","","","","","1066","295","Solar Millennium, LLC","Chevron Energy Solutions","","","","","7030","acres","","","","","1000.0","","four 250 MW plants","MW","Steam Rankine","","","","","Dry cooling","Air-cooled condenser (ACC)","","","","","","","","0","","","This page provides information on the Blythe Solar Power Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Solar Millennium LLC and Chevron Energy Solutions are proposing to construct a utility-scale thermal electric power generating facility, referred to as the Blythe Solar Power Project.  The BSPP will be located in the southern California inland desert, about eight miles west of the City of Blythe and two miles north of the Interstate-10 (I-10) freeway in Riverside County, California.","","","","","published"
"52","Ridgecrest Solar Power Project","","US","CA","","Ridgecrest","Kern","35","33","29.0","North","117","45","14.0","West","Parabolic trough","Under development","2009/11/18","","","2009","","","","","","","","","","","2013","","","","","","","500000","Expected/Planned","","","","","","","","","","","","Solar Millennium, LLC","","","","","","1440","acres","","","","","","250.0","","MW","Rankine","","","","","Dry cooling","Air-cooled condenser (ACC)","","","","","","","","0","","","This page provides information on the Ridgecrest Solar Power Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Solar Millennium LLC is proposing to construct a utility-scale thermal electric power generating facility, referred to as the Ridgecrest Solar Power Project.  The Project will be located in the high northern Mojave Desert in northeastern Kern County, California, about five miles southwest of the City of Ridgecrest, California.","","","","","Published"
"54","Genesis Solar Energy Project","","US","CA","","Blythe","Riverside","33","40","","North","114","59","","West","Parabolic trough","Operational","2017/08/09","October","25","2009","","","","25","","December","15","2010","March","","2014","","","Commercial","","","","580000","Expected/Planned","","NextEra Energy Resources","http://www.nexteraenergyresources.com/","Webmaster Solar","Webmaster.Solar@nrel.gov","","","","","1085","50","Genesis Solar, LLC","NextEra Energy Resources, LLC","Genesis Solar, LLC","","","","1950","acres","","","Dowtherm™ A","The Dow Chemical Company","250.0","250.0","Two 125-MW units","MW","Steam Rankine","","","","","Dry cooling","Air-cooled condenser","","","","","","","None","","","","This page provides information on the Genesis Solar Energy Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

The Project includes two 125-MW units incorporating parabolic trough solar thermal technology.","","","","","Published"
"55","Alpine SunTower","","US","CA","Antelope Valley","Lancaster","","","","","","","","","","Power tower","Under development","2009/11/06","June","25","2009","","","","","","","","","","","2012","","","","","","","192000","","","","","","","","","","","","","NRG Energy","","","","","","","","","","","","","92.0","","MW","","","","","","","","","","","","","","","","","","This page provides information on Alpine SunTower, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Pacific Gas and Electric Company has entered into an agreement with Alpine SunTower, LLC, a subsidiary of NRG Energy, for 92 megawatts of renewable, solar thermal power. The Alpine SunTower project features eSolar’s modular, scalable solar thermal technology and is scheduled for completion in 2012.","","","","","Published"
"56","Imperial Valley-Solar Two","","US","CA","Imperial Valley  ","","Imperial","32","46","21.0","North","115","52","40.0","West","Dish/engine","Under development","2009/12/17","","","","","","","","","","","","","","2014","","","Commercial plant","","","","","","","","","","","","","","","","160","Tessera Solar","","Tessera Solar","","","","6140","acres","","","","","","750.0","","MW","Stirling engine","","","","","","The SunCatcher does not use water for electricity generation or cooling cycles.  Minimal water is used for site operations and washing its mirrors.","","","","","","","","","","","This page provides information on Imperial Valley - Solar Two, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.

Phase I of the project consists of up to 12,000 SunCatchers and produces a net 300 MW.  Phase II expands the Project with 18,000 SunCatchers and produces a net 450 MW.  Subject to receipt of all necessary approvals, construction should start in 2010, with projected commercial operations beginning later in 2010.  Phase II units should begin construction in third-quarter 2012, with the full 750 MW expected to be completed by fourth-quarter 2014.
","","","","","Published"
"57","Mojave Solar Project","","US","CA","","Harper Dry Lake","San Bernardino","35","1","","North","117","20","","West","Parabolic trough","Operational","2015/07/01","October","26","2009","","","","25","","August","","2011","December","1","2014","","","Commercial","1600","USD million","","600000","Expected/Planned","","Abengoa Solar","http://www.abengoasolar.com","Luis Rejano","luis.rejano@abengoa.com","","","","","1200","80","Mojave Solar, LLC","Abengoa Solar, Inc.","","","Abener - Teyma","","1765","acres","","","Therminol VP-1","","280.0","250.0","Two 140-MW units","MW","Steam Rankine","","","","","Wet cooling","Cooling towers","","","","","","","None","","","","This page provides information on Abengoa's Mojave Solar Plant, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.   

The project will be located in an unincorporated area of San Bernardino County, between Barstow and Kramer Junction, about nine miles northwest of Hinkley and 100 miles northeast of Los Angeles.","","","","","Published"
"58","Maricopa Solar Project","Maricopa","US","AZ","","Peoria","Maricopa","33","33","31.0","North","112","13","7.0","West","Dish/Engine","Currently Non-Operational","2013/11/21","","","","","","","","","September","","2009","January","","2010","","","Demonstration","","","","","","","","","NTR","info@ntrplc.com","","","","","50","5","Tessera Solar","","Tessera Solar","","Mortenson Construction","","15","acres","","","","","1.5","1.5","","MW","Stirling","","","","","","The SunCatcher does not use water for electricity generation or cooling cycles.  Minimal water is used for site operations and washing its mirrors.","","","","26","","","None","","","","The Maricopa Solar plant was decommissioned in September 2011.","","","","","Published"
"59","Calico Solar Project","","US","CA","","San Bernardino County","","","","","","","","","","Dish/Engine","Under development","2010/12/03","January","1","2010","","","","20","","December","15","2010","December","1","2011","","","Commercial plant","2000000000","dollars","","","","","","","Tessera Solar","information@tesserasolar.com","","","","","","180","Tessera Solar","","","","","","4600","acres","","","","","664.0","","","MW","Steam Rankine","","","","","","The SunCatcher does not use water for electricity generation or cooling cycles.  Minimal water is used for site operations and washing its mirrors.","","","","","","","","","","","This page provides information on Calico–Solar One, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","published"
"60","Crescent Dunes Solar Energy Project","Tonopah","US","NV","Northern Nevada, northwest of Tonopah","Tonopah","Nye","38","14","20.0","North","117","21","48.0","West","Power tower","Operational","2016/03/09","December","22","2009","","0.135","US$ per kWh","25","","September","","2011","November","","2015","2685","NREL Solar Power Prospector","Commercial","","","","500000","Expected","","SolarReserve","http://www.SolarReserve.com","Tom Georgis","TGeorgis@SolarReserve.com","","","Rob Howe","RHowe@SolarReserve.com","","","SolarReserve, LLC","","SolarReserve's Tonopah Solar Energy, LLC","","ACS Cobra","","1600","acres","","","Molten salt","","110.0","110.0","","MW","Steam Rankine","115.0","bar","Alstom","","Hybrid","","","","","","None","","2-tank direct","10","hours","Thermal energy storage achieved by raising salt temperature from 550 to 1050 F.  Thermal storage efficiency is 99%","This page provides information on Crescent Dunes Solar Energy Project, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration.","","","","","Published"
"62","Ivanpah Solar Electric Generating System","ISEGS","US","CA","","Primm, NV","San Bernardino","35","33","8.5","North","115","27","30.97","West","Power tower","Operational","2014/11/20","January","","2010","","","","25","","October","","2010","January","","2014","2717","NREL Solar Power Prospector","Commercial","2200","USD million","","1079232","Expected/Planned","","BrightSource Energy","http://www.brightsourceenergy.com","Andy Taylor","ataylor@brightsourceenergy.com","","","","","1896","90","BrightSource Energy","","","","Bechtel Engineering","","3500","acres","","","Water","","392.0","377.0","","MW","Steam Rankine","160.0","bar","Siemens SST-900","","Dry cooling","","","","","28.72","Natural gas","","None","","","","This page provides information on Ivanpah Solar Electric Generating Station, a concentrating solar power (CSP) project, with data organized by background, participants, and power plant configuration. Ivanpah consists of a total of three separate units, Ivanpah 1 has a total capacity of 126 MW and Ivanpah 2 and 3 are both 133 MW each. Upon completion, Ivanpah will be the largest solar thermal power tower system in the world.","","","","","Published"
"63","Sierra SunTower","Sierra","US","CA","","Lancaster","Los Angeles","34","43","53.0","North","118","8","19.0","West","Power tower","Operational","2014/02/14","January","1","2010","","","","","","July","","2008","July","","2009","2629","NREL SUNY TDY data","","","","","","","","eSolar","http://www.esolar.com","Robert Rogan","robert.rogan@esolar.com","","","","","130","12","eSolar","","eSolar","","","","","","","","Water","","5.0","5.0","","MW","Steam Rankine","","","","","Wet cooling","Cooling towers","","","","","","","None","","","","This page provides information on Sierra SunTower, a concentrating solar power (CSP) project. 

eSolar, a world leader in CSP technology in tower configuration, built, owns, and operates the only operating solar thermal power plant using tower technology in the United States. Located in Lancaster, California, about 40 miles north of Los Angeles, this tower system has been producing electricity since July 2009, which is being sold to Southern California Edison under a power purchase agreement.","","","","","Published"
